province,division,year,population
British Columbia,Okanagan-Similkameen,2011,80742
Manitoba,Division No. 19,2006,16321
Alberta,Division No.  1,2011,78694
Quebec,La Jacques-Cartier,2006,29738
Quebec,La Nouvelle-Beauce,2011,35107
Ontario,Chatham-Kent,2001,107709
Yukon Territory,Yukon,2001,28674
Quebec,L'�le-d'Orleans,2006,6862
Quebec,Robert-Cliche,2006,18790
Quebec,Le Val-Saint-Fran�ois,2006,29023
Saskatchewan,Division No. 15,2011,83725
Ontario,Dufferin,2006,54436
Quebec,Les Jardins-de-Napierville,2006,24111
Newfoundland and Labrador,Division No. 10,2011,24111
Ontario,Dufferin,2001,51003
Quebec,La Riviere-du-Nord,2001,90419
Quebec,Lajemmerais,2011,74416
Quebec,Le Haut-Saint-Fran�ois,2001,21394
Quebec,Temiscamingue,2011,16425
Quebec,Mekinac,2006,12672
British Columbia,Cariboo,2001,65659
Nova Scotia,Yarmouth,2011,25275
Quebec,Nicolet-Yamaska,2011,22798
Ontario,Renfrew,2006,97545
British Columbia,North Okanagan,2001,73227
Ontario,Muskoka,2006,57563
Saskatchewan,Division No.  9,2011,35314
Quebec,Montcalm,2001,38735
Quebec,Quebec,2001,509955
Nova Scotia,Queens,2001,11723
New Brunswick,Victoria,2001,21172
Quebec,Beauce-Sartigan,2001,47873
Ontario,Kawartha Lakes,2001,69179
Quebec,Roussillon,2006,149996
Ontario,Stormont: Dundas and Glengarry,2011,111164
Quebec,Bellechasse,2011,35318
British Columbia,Sunshine Coast,2006,27759
Nova Scotia,Richmond,2001,10225
Quebec,Abitibi-Ouest,2001,21984
Quebec,Lotbiniere,2001,26898
Quebec,La Matapedia,2006,19199
Saskatchewan,Division No. 14,2006,36515
Northwest Territories,Region 6,2006,19210
Nova Scotia,Lunenburg,2006,47150
Quebec,L'�le-d'Orleans,2011,6711
Ontario,Frontenac,2001,138606
British Columbia,Alberni-Clayoquot,2006,30664
Quebec,Les Basques,2001,9848
Prince Edward Island,Prince,2011,44348
Alberta,Division No.  9,2001,19573
Ontario,Lambton,2001,126971
Newfoundland and Labrador,Division No.  4,2011,20840
Alberta,Division No.  9,2006,20351
Saskatchewan,Division No. 16,2006,37118
Ontario,Algoma,2006,117461
Ontario,Renfrew,2001,95138
Saskatchewan,Division No.  4,2006,11086
Quebec,Beauce-Sartigan,2006,49611
Manitoba,Division No. 12,2011,21830
Alberta,Division No. 12,2011,63427
Saskatchewan,Division No. 11,2001,237629
British Columbia,Nanaimo,2011,146574
Quebec,Kamouraska,2006,22084
Quebec,Le Haut-Richelieu,2011,114344
British Columbia,Kootenay Boundary,2001,31843
Newfoundland and Labrador,Division No.  1,2011,262410
Quebec,L'�rable,2001,23974
Quebec,Le Saguenay-et-son-Fjord,2001,166780
Yukon,Yukon,2011,33897
Quebec,Kamouraska,2011,21492
Ontario,York,2011,1032524
Newfoundland and Labrador,Division No.  5,2011,41004
Ontario,Lanark,2011,65667
Ontario,Middlesex,2006,422333
Saskatchewan,Division No.  1,2006,29168
British Columbia,Stikine,2011,629
New Brunswick,Albert,2006,27562
Nova Scotia,Annapolis,2001,21773
Quebec,Montmagny,2001,23438
Quebec,Arthabaska,2001,64089
Quebec,Rouyn-Noranda,2006,39924
British Columbia,Powell River,2011,19906
Quebec,Les Etchemins,2011,17254
Saskatchewan,Division No.  6,2001,219250
Ontario,Prince Edward,2001,24901
Ontario,Brant,2011,136035
Ontario,Elgin,2001,81553
Nova Scotia,Victoria,2011,7115
Manitoba,Division No. 10,2011,10673
British Columbia,Greater Vancouver,2006,2116581
Ontario,Hastings,2011,134934
Manitoba,Division No. 16,2001,10336
British Columbia,Peace River,2011,60082
Nova Scotia,Kings,2011,60589
Quebec,La C�te-de-Beaupre,2001,20984
Quebec,Maskinonge,2001,34980
Alberta,Division No. 15,2011,35983
New Brunswick,Queens,2006,11708
British Columbia,Mount Waddington,2006,11651
Quebec,Mirabel,2001,27315
Nova Scotia,Colchester,2001,49307
Ontario,Peel,2006,1159455
Manitoba,Division No. 14,2011,18497
Ontario,Lanark,2006,63785
Yukon,Yukon,2006,30372
New Brunswick,Westmorland,2006,132849
Quebec,Le Haut-Saint-Fran�ois,2006,21744
British Columbia,Capital,2001,325754
Quebec,Vaudreuil-Soulanges,2011,139353
Alberta,Division No. 14,2011,28584
Quebec,Coaticook,2011,18847
New Brunswick,Queens,2011,11086
Ontario,Thunder Bay,2001,150860
British Columbia,Skeena-Queen Charlotte,2001,21693
Nunavut,Keewatin,2006,8348
Quebec,Montreal,2011,1886481
Quebec,Rouyn-Noranda,2001,39621
Saskatchewan,Division No. 17,2011,44180
Quebec,Les Basques,2006,9475
Newfoundland and Labrador,Division No. 11,2001,2634
Quebec,Rimouski-Neigette,2001,52289
Ontario,Grey,2006,92411
Manitoba,Division No. 13,2011,46888
Alberta,Division No. 19,2006,98712
Ontario,Middlesex,2001,403185
Quebec,Les �les-de-la-Madeleine,2011,12781
New Brunswick,Kings,2011,69665
Alberta,Division No. 11,2006,1076103
Quebec,Beauce-Sartigan,2011,50962
Prince Edward Island,Queens,2006,72744
Ontario,Niagara,2006,427421
Quebec,Montcalm,2011,48378
New Brunswick,Restigouche,2001,36134
Alberta,Division No.  6,2011,1311022
Quebec,Papineau,2006,21863
Nova Scotia,Cape Breton,2011,101619
Quebec,Avignon,2006,14643
Ontario,Parry Sound,2006,40918
Manitoba,Division No. 15,2006,21417
Quebec,Francheville,2006,143267
Ontario,Muskoka,2011,58047
Newfoundland and Labrador,Division No.  4,2001,22162
Manitoba,Division No.  4,2011,9306
Alberta,Division No. 13,2001,63954
Quebec,Abitibi,2006,24275
Alberta,Division No. 14,2001,26871
Manitoba,Division No.  2,2006,55886
Newfoundland and Labrador,Division No.  1,2001,242875
Manitoba,Division No. 13,2001,42183
Ontario,Kenora,2001,61802
New Brunswick,Albert,2011,28846
Quebec,La Vallee-du-Richelieu,2001,96150
Ontario,Ottawa,2006,812129
Alberta,Division No. 16,2006,53080
Manitoba,Division No. 19,2011,17240
Ontario,Muskoka,2001,53106
Nova Scotia,Lunenburg,2011,47313
Manitoba,Division No.  5,2001,13848
Newfoundland and Labrador,Division No. 11,2011,2617
Quebec,Le Val-Saint-Fran�ois,2001,28383
Ontario,Manitoulin,2006,12631
British Columbia,Columbia-Shuswap,2011,50512
Quebec,Le Haut-Richelieu,2001,100753
Manitoba,Division No.  3,2001,42184
Ontario,Perth,2011,75112
Northwest Territories,Region 3,2011,2812
Quebec,Les Laurentides,2001,38433
Quebec,Deux-Montagnes,2011,95670
Ontario,Leeds and Grenville,2006,99206
Quebec,Papineau,2001,20367
Nova Scotia,Pictou,2001,46965
British Columbia,Fraser Valley,2001,237550
Quebec,Matawinie,2001,43093
British Columbia,Bulkley-Nechako,2001,40856
New Brunswick,Victoria,2011,19921
Quebec,Le Saguenay-et-son-Fjord,2006,163717
Ontario,Elgin,2006,85351
British Columbia,Cariboo,2011,62392
Quebec,La Haute-Yamaska,2006,79356
Alberta,Division No. 16,2001,42971
Ontario,Brant,2006,125099
British Columbia,Central Kootenay,2006,55883
New Brunswick,Albert,2001,26749
Alberta,Division No.  3,2006,37846
Quebec,Matane,2001,22507
Ontario,Nipissing,2006,84688
Newfoundland and Labrador,Division No. 11,2006,2414
Quebec,Montmagny,2006,23201
Quebec,Les Basques,2011,9142
British Columbia,Stikine,2006,632
Quebec,Nord-du-Quebec,2006,39817
Quebec,La Vallee-de-la-Gatineau,2001,18730
Nova Scotia,Richmond,2011,9293
Ontario,Algoma,2011,115870
Quebec,Therese-De Blainville,2006,143355
Quebec,Les Maskoutains,2006,80694
Saskatchewan,Division No. 10,2001,19365
Quebec,Les Appalaches,2011,43120
Ontario,Sudbury,2001,22894
New Brunswick,Madawaska,2011,33422
Ontario,Peel,2011,1296814
British Columbia,Greater Vancouver,2001,1986965
British Columbia,Squamish-Lillooet,2006,35225
Newfoundland and Labrador,Division No.  6,2011,37304
Ontario,Essex,2011,388782
Newfoundland and Labrador,Division No.  8,2006,38937
Alberta,Division No.  1,2001,67402
Nova Scotia,Hants,2011,42304
Quebec,La Mitis,2006,19365
Quebec,Memphremagog,2001,42267
Manitoba,Division No.  4,2001,9942
Saskatchewan,Division No.  4,2001,11714
Alberta,Division No. 17,2011,61504
Prince Edward Island,Queens,2001,71619
Saskatchewan,Division No.  4,2011,10879
Quebec,La C�te-de-Gaspe,2011,17985
Quebec,Papineau,2011,22541
Newfoundland and Labrador,Division No.  7,2011,34686
Quebec,La Riviere-du-Nord,2011,115165
Nova Scotia,Inverness,2006,19036
